joined,quit,customerName
2015-04-23T08:02:30.244Z,2015-08-16T22:07:37.940Z,Mr. Roscoe
2016-02-18T08:33:48.184Z,2016-03-22T06:11:53.891Z,Ms. Lyvia
2016-02-19T09:54:32.007Z,,Solomon
2015-06-30T21:28:05.041Z,2015-12-30T16:12:17.701Z,Mr. Colton
2016-06-02T23:49:28.869Z,2016-07-12T23:31:13.634Z,Oris
2015-02-26T17:23:55.298Z,2016-06-10T16:18:00.776Z,Nelson
2015-10-21T13:33:30.005Z,2015-12-06T03:26:09.439Z,Elliemae
2016-01-20T09:05:23.633Z,,Lter
2015-08-27T16:34:07.784Z,,Grady
2016-07-29T10:01:21.306Z,2016-07-30T18:26:23.111Z,Herr Ignacio
2015-04-20T16:24:59.892Z,,Oker
2015-02-12T04:23:55.952Z,2016-07-08T15:04:12.376Z,M. Chael
2015-01-07T20:33:14.525Z,2015-12-11T10:37:24.575Z,Rike
2015-02-06T08:15:31.721Z,2015-05-01T15:02:01.790Z,Mr. Dion
2016-05-22T04:10:12.256Z,2016-07-30T17:23:09.878Z,Asandee
2015-03-16T16:48:38.957Z,2015-08-27T09:09:54.816Z,Uther
2015-07-23T11:09:07.420Z,,Ms. Jordan
2016-03-03T21:40:16.735Z,,Darner
2015-10-18T14:47:48.876Z,2015-12-16T07:31:15.227Z,Iedi
2015-11-13T06:40:09.341Z,2016-05-13T10:19:21.357Z,Enedinah
2016-07-14T04:03:51.150Z,2016-07-22T08:43:58.285Z,Itni
2016-03-25T19:54:22.065Z,,Usto
2016-01-12T07:34:34.159Z,2016-03-04T17:58:40.285Z,Artin
2016-03-30T09:24:38.419Z,,Shly
2015-06-15T15:54:49.625Z,2015-10-20T11:34:48.065Z,Dice
2015-06-13T04:41:40.134Z,2016-06-13T05:47:31.437Z,Uiana
2015-06-17T05:15:16.540Z,2015-08-01T06:49:17.639Z,Octavia
2015-08-07T21:29:26.149Z,,Layna
2016-03-25T15:19:44.528Z,2016-04-25T17:05:38.963Z,Glen
2016-05-12T15:00:46.651Z,2016-07-06T04:32:15.466Z,Sr. Eloy
2015-04-04T14:01:34.274Z,2016-03-07T12:23:33.688Z,Miss Bbye
2015-08-27T18:14:21.721Z,2016-05-26T19:55:01.772Z,Uonnet
2016-05-10T11:52:11.670Z,2016-07-26T22:07:19.052Z,Rlen
2015-04-30T14:21:44.233Z,2016-05-01T01:00:26.962Z,Janae
2015-02-17T05:46:35.470Z,2015-03-23T11:15:35.174Z,Mr. Rmin
2015-07-08T04:24:24.232Z,2016-02-15T07:49:01.449Z,Amed
2016-04-28T08:15:32.874Z,2016-07-10T01:42:54.121Z,Mr. Nell
2015-07-03T23:53:24.390Z,,Timmy
2015-07-13T18:39:15.958Z,,Ntione
2015-03-03T00:14:51.566Z,,Ms. Egan
2015-09-09T11:22:59.840Z,2016-02-09T01:11:25.157Z,Rhiannon
2015-09-07T23:24:47.052Z,2016-07-11T03:28:11.488Z,Isiah
2015-03-05T07:14:10.905Z,2016-05-10T02:31:20.516Z,Ms. Refugio
2016-01-16T06:35:57.224Z,,Nate
2015-09-24T07:36:00.823Z,2016-01-12T14:04:31.317Z,Garete
2015-09-11T00:57:21.588Z,2015-12-04T11:04:27.741Z,Summera
2015-02-25T15:49:32.071Z,,Mr. Cenzo
2016-06-20T04:51:45.729Z,2016-06-22T20:14:59.300Z,Sir Tthew
