joined,quit,customerName
2015-02-01T15:11:08.890Z,2015-04-04T06:55:46.590Z,Sr. Rturo
2015-09-26T13:49:09.676Z,2015-12-29T17:11:39.632Z,Usita
2016-01-29T08:44:46.286Z,2016-03-29T21:03:40.722Z,Mr. Wayne
2015-01-29T19:19:37.864Z,2015-06-29T21:56:43.894Z,Ueen
2016-05-09T07:32:53.785Z,,Nville
2015-03-23T15:43:22.387Z,,Avin
2016-01-25T04:21:24.148Z,,Bobby
2015-03-25T22:19:35.325Z,2015-12-20T06:34:00.611Z,Mr. Larion
2016-06-09T09:03:53.394Z,2016-07-07T01:09:05.489Z,Mr. Udson
2016-03-07T15:34:10.398Z,2016-05-04T23:42:19.815Z,Orthey
2015-02-20T22:57:13.347Z,2015-04-11T18:40:02.414Z,Dion
2016-04-22T04:37:22.329Z,2016-06-07T18:10:47.794Z,Otte
2016-02-23T05:54:08.594Z,2016-06-05T06:30:02.031Z,Erett
2016-04-06T22:32:30.507Z,,Ms. Fiona
2016-06-17T04:47:43.619Z,2016-07-28T22:56:41.590Z,Blake
2015-10-31T15:35:10.309Z,2015-12-19T05:25:30.270Z,Milan
2016-04-29T02:00:19.615Z,,Mr. Warnestor
2015-06-24T17:12:16.646Z,2016-05-16T22:03:58.569Z,Lonny
2015-06-14T13:19:57.795Z,,Incoln
2016-07-23T11:59:49.205Z,2016-07-27T13:27:57.358Z,Joella
2015-06-28T07:19:18.547Z,,Mr. Oderick
2015-11-03T02:02:44.997Z,,Illicenta
2015-03-20T09:06:57.984Z,2016-07-30T16:19:39.101Z,Eemanuel
2016-05-08T20:11:03.188Z,2016-06-25T21:44:47.158Z,Sr. Keneth
2015-09-02T23:50:35.285Z,2016-06-11T09:46:43.298Z,Mrs. Awny
2015-01-23T21:28:56.527Z,,Mr. Rker
2015-09-23T09:34:19.080Z,2016-06-26T18:40:19.416Z,Mr. Oyle
2016-01-14T10:15:43.934Z,2016-07-09T06:26:29.336Z,Gordon
2015-06-14T16:03:17.095Z,,Raya
2015-12-31T06:47:16.896Z,2016-01-19T23:22:51.027Z,Hoyt
2016-02-15T12:41:00.527Z,2016-05-31T02:17:52.659Z,Mr. Edwardo
2015-05-05T21:24:45.831Z,2015-07-19T15:34:03.342Z,Loren
2015-12-09T22:28:47.413Z,,Ms. Strell
2015-09-24T08:16:24.190Z,,Oannalison
2015-12-03T14:52:20.750Z,2016-05-23T19:19:55.658Z,Mr. Rmen
2015-08-26T00:28:37.194Z,2015-08-31T01:16:00.173Z,Aynard
2016-03-08T15:03:15.156Z,2016-07-02T18:06:36.639Z,Irio
2015-03-20T13:47:27.709Z,2016-05-09T10:30:29.898Z,Anay
2015-11-08T01:14:47.039Z,2016-06-26T05:07:55.801Z,Arvey
2015-09-04T05:10:44.830Z,,Ohnna
2015-02-15T05:21:22.117Z,2016-05-01T00:14:31.216Z,Herr Alton
2015-12-30T19:52:44.196Z,,Assey
2015-04-15T16:11:57.781Z,,Mr. Eymour
2015-11-05T05:36:06.463Z,,Irgie
